,name,date,headline,intro
3085,Tagesschau,05/06/2021,TBV;Lemgo;Lippe;sein;Pokalsieger,der;Handball;Bundesligist;TBV;Lemgo;Lippe;haben;der;DHB;Pokal;gewinnen;zum;viert;Mal;Nach;der;völlig;überraschend;Halbfinalsieg;gegen;Kiel;setzen;sich;der;Ostwestfalen;im;Finale;mit;28;24;gegen;Melsungen;durch
3086,Tagesschau,06/06/2021,Vergütung;für;Test;soll;deutlich;sinken,In;einig;Corona;Testzentren;sollen;deutlich;mehr;Abstrich;abrechnen;werden;mein;als;tatsächlich;vornehmen;der;Gesundheitsministerium;planen;nun;streng;Kontrolle;und;einen;niedrig;Vergütung
3087,Tagesschau,05/06/2021,Festnahme;bei;Schnelltest;Betreiber,der;Staatsanwaltschaft;Bochum;haben;im;Ermittlungsverfahren;um;der;Betrugsverdacht;mit;Schnelltests;mehrer;Objekt;im;Ruhrgebiet;durchsuchen;und;dabei;ein;Verdächtigte;festnehmen;Ein;weit;Verdächtiger;stellen;sich
3088,Welt,09/06/2021,Deutschland;kooperieren;laut;Blinken;mit;USA;in;Ostsee;Pipeline;Streit,Im;anhaltend;Streit;um;der;Betrieb;der;Ostsee;Pipeline;Nord;Stream;2;sein;Deutschland;laut;US-amerikanischen;Außenminister;Antony;Blinken;nun;mit;an;der;Tisch;kommen;Man;wolle;verhindern;dass;der;gegenseitig;Beziehung;vergiften;werden
3089,Tagesschau,06/06/2021,ich;werden;einen;schwierig;Kampf,15;Prozent;soll;laut;G7;künftig;der;Mindeststeuer;für;multinationale;Unternehmen;betragen;der;Plan;umsetzen;werden;einen;schwierig;Kampf;glauben;Frankreich;Oxfam;finden;der;Steuersatz;zu;niedrig
3090,Tagesschau,06/06/2021,Trump;verlangen;von;China;Reparation,Ex;Präsident;Trump;haben;bei;einer;sich;erst;groß;Auftritt;seit;sich;Amtszeit;China;auffordern;Reparation;für;der;Umgang;mit;der;Coronavirus;zu;zahlen;Zudem;deuten;ich;mein;erneute;Kandidatur;an
3091,Tagesschau,05/06/2021,warum;schlecht;Datum;gut;für;der;Börse;sein,der;Mai;Aufschwung;am;US-amerikanischen;Arbeitsmarkt;sein;wenig;stark;ausfallen;als;erwarten;trotzdem;freuen;sich;der;Aktienanleger;denn;der;ernüchternden;Jobdaten;lindern;der;Inflations;und;Zinssorgen
3092,Tagesschau,06/06/2021,Papst;umgehen;Entschuldigung;für;tot;Kind,Papst;Franziskus;haben;der;getötet;indigenen;Kind;in;Kanada;gedenken;Eine;Entschuldigung;vermeiden;der;Papst;jedoch;der;fordern;unter;ander;Hinterbliebene;der;215;Opfer
3093,Zeit,05/06/2021,Wie;Großkonzerne;zur;Kasse;gebeten;werden;sollen,der;groß;Industriestaaten;planen;einen;global;Mindeststeuer;ich;gehen;um;Milliardenbeträge;warum;der;USA;profitieren;und;was;der;Vorhaben;für;Deutschland;bedeuten
3094,Zeit,05/06/2021,Aufruf;zum;Umsturz,Mit;Kardinal;Marx;Rücktrittsangebot;ziehen;endlich;einen;Bischof;persönlich;Konsequenz;aus;der;Missbrauchsskandal;Überfällig;dass;ich;nun;weit;Bischof;folgen
3095,Zeit,05/06/2021,Infektionszahlen;gehen;weit;zurück,der;Gesundheitsämter;haben;2;942;Neuinfektionen;mit;Covid;19;registrieren;der;sein;über;3;500;Fall;wenig;als;vor;einer;Woche;Zudem;werden;122;neue;Tote;melden
3096,Zeit,05/06/2021,Abholzung;im;Amazonasgebiet;steigen;auf;neu;Höchststand,Im;Mai;sein;im;brasilianisch;Amazonasgebiet;erstmals;über;1;000;Quadratkilometer;Regenwald;abholzen;werden;der;Fläche;sein;weit;groß;als;der;im;Vorjahresmonat
3097,Zeit,05/06/2021,Ich;habe;niemand;angreifen,Sachsen;Anhalt;CDU;kämpfen;mit;sich;selbst;und;wollen;am;Sonntag;der;AfD;schlagen;Ein;Hausbesuch;bei;Ex;Innenminister;Holger;Stahlknecht;der;AfD;Nähe;unterstellen;werden
3098,Zeit,05/06/2021,CSU;Frau;fordern;Parität;bei;Listenplätzen,Für;der;Bundestagswahl;wollen;der;CSU;Frau;Union;mindestens;der;Hälfte;der;Listenplätze;mit;Frau;besetzen;mein;Anteil;in;der;Bundestagsfraktion;liegen;bei;16;Prozent
3099,Tagesschau,06/06/2021,Starkregen;sorgen;wieder;für;Überflutung,In;Deutschland;haben;ich;erneut;zahlreiche;Unwetter;geben;Starkregen;schwemmen;Auto;weg;und;fluten;Keller;einen;Ort;in;Thüringen;stehen;komplett;unter;Wasser;und;der;gewittrig;Phase;sein;laut;Wetterdienst;noch;nicht;überstehen
3100,Zeit,05/06/2021,kein;Tag;vergehen;ohne;Gewalt,Angeblich;ruhen;der;Konflikt;in;der;Ostukraine;der;Bewohner;der;Dorf;Werchnjotorezke;nahe;der;russisch;besetzen;Donbass;fürchten;trotzdem;jed;Tag;um;mein;Leben
3101,Zeit,05/06/2021,Abwarten;sein;in;der;Medizin;einen;echte;Option,der;Kinderarzt;Jörg;Dötsch;über;Risiko;und;Nutzen;einer;Impfung;für;der;Jüngere;und;der;groß;Verantwortung;der;nun;bei;der;Familie;liegen
3102,Zeit,05/06/2021,Koalition;einigen;sich;auf;Verlängerung;epidemischer;Lage,Bund;und;Land;sollen;für;mein;Corona;Politik;weit;drei;Monat;Sonderbefugnisse;erhalten;Darauf;haben;sich;Union;und;SPD;einigen;der;Bundestag;muss;noch;zustimmen
3103,Zeit,05/06/2021,Städtetag;erwägen;Public;Viewing;bei;Fußball;EM,In;klein;Rahmen;können;EM;Feier;stattfinden;heißen;ich;In;München;sein;sogar;einen;Stadionbesuch;möglich;Dresdner;Hochhaus;unter;Quarantäne;Corona;News;aus;Deutschland
3104,Tagesschau,06/06/2021,Kardinal;Woelki;denken;nicht;an;Rücktritt,Reformer;in;der;katholisch;Kirche;haben;nach;der;Rücktrittsgesuch;von;Kardinal;Marx;auch;auf;einen;Reaktion;der;umstritten;Kölner;Kardinal;Woelki;hoffen;doch;der;scheinen;entschließen;an;mein;Amt;festhalten
3105,Zeit,05/06/2021,Ich;sein;immer;anderswo,der;Eltern;mein;Autorin;kommen;aus;der;Türkei;Immer;wieder;fragen;ich;sich;nach;sich;Identität;und;ob;mein;Sprache;ich;zur;Deutsche;machen
3106,Zeit,05/06/2021,Erster;Tiananmen;Jahrestag;ohne;Massenprotest,In;Hongkong;erinnern;üblicherweise;Zehntausende;Mensch;an;der;Massaker;auf;der;Tiananmen;Platz;Dieses;Jahr;trauen;sich;nach;einer;Verbot;nur;einig;Hundert
3107,Zeit,05/06/2021,Litauen;melden;mehr;Migranten;aus;Belarus,der;Zahl;der;illegal;Grenzübertritte;sein;deutlich;hoch;als;im;vergangen;Jahr;melden;litauische;Behörde;der;Innenministerin;vermuten;ein;organisieren;Strom
3108,Zeit,05/06/2021,Wenn;der;ganze;Welt;einen;schimmernd;groß;Stadt;werden,Liam;Young;schaffen;spekulative;Architektur;statt;zu;bauen;produzieren;ich;Zukunftsentwürfe;mein;aktuell;der;Menschheit;können;in;einer;einzig;Megastadt;leben
